#Entry,Positiv,Negativ,Strong,Weak
A,,,,
ADDITIONAL,,,Strong,
ADDRESS#1,,,,
ADDRESS#2,,,,
ADDRESS#3,,,,
ADEN,,,,
ADEPT,Positiv,,Strong,
ADEPTNESS,Positiv,,Strong,
ADEQUATE,Positiv,,,
ADHERE,,,,
ADHERENCE,Positiv,,,
ADHERENT,Positiv,,,
ADHESION,Positiv,,,
ADHESIVE,Positiv,,,
ADJACENT,,,,
ADJOIN,,,,
ADJOURNMENT,,,,
ADJUDICATION,,,,
ADJUNCT,Positiv,,,
ADJUST#1,,,Strong,
ADJUST#2,Positiv,,,
ADJUSTABLE,Positiv,,,
ADJUSTMENT,Positiv,,,
ADMINISTER,,,Strong,
ADMINISTRATION#1,,,Strong,
ADMINISTRATION#2,,,Strong,
ADMINISTRATIVE,,,Strong,
ADMINISTRATOR,,,Strong,
ADMIRABLE,Positiv,,,
ADMIRAL#1,,,,
ADMIRAL#2,,,,
ADMIRATION,Positiv,,Strong,
ADMIRE,Positiv,,,
ADMIRER,Positiv,,Strong,
ADMISSIBLE,,,,
ADMISSION,,,,
ADMIT#1,Positiv,,,Weak
ADMIT#2,Positiv,,,
ADMIT#3,Positiv,,,Weak
ADMITTANCE,Positiv,,,
ADMONISH,,Negativ,Strong,
ADMONITION,,Negativ,,
ADOLESCENT,,,,
ADOPT#1,,,,
ADOPT#2,,,,
ADOPTION,,,,
ADORABLE,Positiv,,,
ADORE,Positiv,,,
ADORN,Positiv,,Strong,
ADORNMENT,Positiv,,,
ADROIT,Positiv,,Strong,
ADROITLY,Positiv,,Strong,
ADULATION,Positiv,,Strong,
ADULT#1,,,Strong,
ADULT#2,Positiv,,Strong,
ADULTERATE,,Negativ,,
ADULTERATION,,Negativ,,
ADULTERY,,Negativ,,
ADVANCE#1,Positiv,,Strong,
ADVANCE#2,Positiv,,Strong,
ADVANCE#3,Positiv,,,
ADVANCE#4,,,,
ADVANCEMENT,Positiv,,,
ADVANTAGE,Positiv,,Strong,
ADVANTAGEOUS,Positiv,,Strong,
ADVENT,Positiv,,,
ADVENTURE,,,,
ADVENTURESOME,Positiv,,Strong,
ADVENTUROUS,Positiv,,Strong,
ADVERSARY,,Negativ,,
ADVERSE,,Negativ,,
ADVERSITY,,Negativ,,
ADVICE,,,,
ADVISABLE,Positiv,,,
ADVISE,,,,
ADVISER,,,,
ADVISOR,,,,
ADVISORY,,,,
ADVOCACY,Positiv,,,
ADVOCATE#1,,,Strong,
ADVOCATE#2,,,Strong,
AESTHETIC,,,,
AFFABILITY,Positiv,,,
AFFABLE,Positiv,,,
AFFAIR#1,,,,
AFFAIR#2,,,,
AFFAIR#3,,,,
AFFECT,,,,
AFFECTATION,,Negativ,,
AFFECTION,Positiv,,,
AFFECTIONATE,Positiv,,,
AFFILIATE,Positiv,,,
AFFILIATION,Positiv,,,
AFFINITY,Positiv,,Strong,
AFFIRM,Positiv,,Strong,
AFFIRMANCE,,,,
AFFIRMATION,Positiv,,,
AFFIRMATIVE,Positiv,,,
AFFIX,Positiv,,,
AFFLICT,,Negativ,Strong,
AFFLICTION,,Negativ,,Weak
AFFLUENCE,Positiv,,,
AFFLUENT,Positiv,,,
AFFORD#1,,,Strong,
AFFORD#2,,,Strong,
AFGHANISTAN,,,,
AFLOAT,Positiv,,Strong,
AFRAID#1,,,,
AFRAID#2,,Negativ,,Weak
AFRICA,,,,
AFRICAN,,,,
AFTER#1,,,,
AFTER#2,,,,
AFTER#3,,,,
AFTERNOON,,,,
AFTERWARD,,,,
AGAIN#1,,,,
AGAIN#2,,,,
AGAIN#3,,,,
AGAINST,,Negativ,,
AGE#1,,,,
AGE#2,,,,
AGE#3,,,,
AGE#4,,,,
AGENCY,,,,
AGENT,,,,
AGGRAVATE,,Negativ,Strong,
AGGRAVATION,,Negativ,Strong,
AGGREGATE,Positiv,,,
AGGREGATION,Positiv,,,
AGGRESSION,,Negativ,Strong,
AGGRESSIVE,,Negativ,Strong,
AGGRESSIVENESS,,Negativ,Strong,
AGGRESSOR,,Negativ,,
AGGRIEVE,,Negativ,,
AGHAST,,Negativ,,
AGILE,Positiv,,Strong,
AGILITY,Positiv,,Strong,
AGITATE,,Negativ,Strong,
AGITATION,,Negativ,Strong,
AGITATOR,,Negativ,,
AGO,,,,
AGONIZE,,Negativ,,
AGONY,,Negativ,,
AGRARIAN,,,,
AGREE#1,,,,
AGREE#2,,,,
AGREEABLE,Positiv,,,
AGREEMENT,Positiv,,Strong,
AGRICULTURAL,,,,
AGRICULTURE,,,,
AHEAD,,,,
AID#1,Positiv,,Strong,
AID#2,Positiv,,,
AID#3,,,,
AIDE,,,,
AIL,,Negativ,,
AILMENT,,Negativ,,
AIM#1,,,,
AIM#2,,,,
AIMLESS,,Negativ,,
AIN'T,,,,
AIR#1,,,,
AIR#2,,,,
AIR#3,,,,
AIR#4,,,Strong,
AIR#5,,,,
AIR#6,,,,
AIR#7,,,,
AIRCRAFT,,,,
AIRPLANE,,,,
AIRPORT,,,,
AKIN,,,,
ALABAMA,,,,
ALARM#1,,,,
ALARM#2,,Negativ,,
ALARMING,,Negativ,,
ALAS,,Negativ,,
ALASKA,,,,
ALBANIA,,,,
ALBUM,,,,
ALCOHOLIC,,,,
ALERT,,,Strong,
ALERTNESS,Positiv,,,
ALGERIA,,,,
ALGIERS,,,,
ALIBI,,Negativ,,Weak
ALIEN,,Negativ,,
ALIENATE,,Negativ,,
ALIENATION,,Negativ,,
ALIGHT,Positiv,,,
ALIGN#1,,,,
ALIGN#2,,,,
ALIKE,,,,
ALIVE,Positiv,,Strong,
ALL#1,,,,
ALL#10,,,,
ALL#11,,,,
ALL#12,,,,
ALL#13,,,,
ALL#2,,,,
ALL#3,,,,
ALL#4,,,,
ALL#5,,,,
ALL#6,,,,
ALL#7,,,,
ALL#8,,,,
ALL#9,,,,
ALL#_10,,,,
ALL#_11,,,,
ALL#_12,,,,
ALL#_13,,,,
ALLEDGE,,,,
ALLEGATION,,Negativ,,
ALLEGE,,Negativ,,Weak
ALLEGIANCE,Positiv,,,
ALLEVIATE,Positiv,,,
ALLIANCE,Positiv,,Strong,
ALLIED,Positiv,,Strong,
ALLIES,Positiv,,,
ALLOCATION,,,,
ALLOT,,,,
ALLOTMENT,,,,
ALLOW#1,Positiv,,,
ALLOW#2,,,,
ALLOWABLE,Positiv,,,
ALLOWANCE,Positiv,,,
ALLURE,Positiv,,,
ALLUSION,,,,
ALLY#1,Positiv,,Strong,
ALLY#2,,,,
ALMIGHTY,Positiv,,Strong,
ALMOST,,,,
ALONE#1,,,,Weak
ALONE#2,,,,
ALONE#3,,,,
ALONG#1,,,,
ALONG#2,,,,
ALONG#3,,,,
ALONG#4,,,,
ALONGSIDE,,,,
ALOOF,,Negativ,,
ALOUD,,,,
ALREADY,,,,
ALRIGHT,,,,
ALSO,,,,
ALTER,,,Strong,
ALTERATION,,,,
ALTERCATION,,Negativ,,
ALTERNATE#1,,,,
ALTERNATE#2,,,,
ALTERNATIVE,,,,
ALTHOUGH,,,,
ALTOGETHER,,,,
ALTRUISTIC,Positiv,,,
ALUMINIUM#1,,,,
ALUMINUM,,,,
ALWAYS,,,,
AM#1,,,,
AM#2,,,,
AM#3,,,,
AMATEUR,,,,Weak
AMAZE#1,,,,
AMAZE#2,,,,
AMAZEMENT,Positiv,,Strong,
AMAZING,Positiv,,Strong,
AMBASSADOR,,,,
AMBIGUITY,,Negativ,,
AMBIGUOUS,,Negativ,,
AMBITION,,,Strong,
AMBITIOUS,,,Strong,
AMBIVALENT,,Negativ,,Weak
AMBULANCE,,,,
AMBUSH#1,,Negativ,Strong,
AMBUSH#2,,Negativ,Strong,
AMELIORATE,Positiv,,,
AMELIORATION,,,,
AMEN,,,,
AMENABLE,Positiv,,,
AMEND#1,,,,
AMEND#2,,,,
AMENDMENT,,,,
AMENITY,Positiv,,,
AMERICA,,,,
AMERICAN,,,,
AMIABILITY,Positiv,,,
AMIABLE,Positiv,,,
AMICABLE,Positiv,,,
AMID,,,,
AMIDST,,,,
AMISS,,Negativ,,
AMMUNITION,,,,
AMNESTY,Positiv,,,
AMONG,,,,
AMOUNT#1,,,,
AMOUNT#2,,,,
AMOUR,Positiv,,,
AMPLE,Positiv,,Strong,
AMPLIFY,Positiv,,Strong,
AMPLY,Positiv,,Strong,
AMPUTATE,,Negativ,,
AMUSE,Positiv,,,
AMUSEMENT,Positiv,,,
AN,,,,
ANALOGOUS,,,,
ANALOGY,,,,
ANALYSE#1,,,,
ANALYSIS,,,,
ANALYST,,,,
ANALYTIC,,,,
ANALYTICAL,,,,
ANALYZE,,,,
ANARCHIST,,Negativ,,
ANARCHY,,Negativ,,
ANCESTOR,,,,
ANCHOR#1,,,,
ANCHOR#2,,,Strong,
ANCIENT,,,,Weak
AND,,,,
ANECDOTE,,,,
ANEW,,,,
ANGEL,Positiv,,,
ANGELIC,Positiv,,,
ANGER#1,,Negativ,,
ANGER#2,,Negativ,,
ANGLE,,,,
ANGOLA,,,,
ANGRY,,Negativ,,
ANGUISH,,Negativ,,
ANIMAL,,,,
ANIMATE,,,,
ANIMATION,,,,
ANIMOSITY,,Negativ,,
ANKLE,,,,
ANNALS,,,,
ANNIHILATE,,Negativ,,
ANNIHILATION,,Negativ,,
ANNIVERSARY,,,,
ANNOUNCE#1,,,,
ANNOUNCE#2,,,,
ANNOUNCEMENT,,,,
ANNOY,,Negativ,,
ANNOYANCE,,Negativ,,
ANNUAL,,,,
ANNUITY,,,,
ANOINT,Positiv,,,
ANOMALOUS,,Negativ,,
ANOMALY,,Negativ,,
ANONYMOUS,,,,
ANOTHER#1,,,,
ANOTHER#2,,,,
ANOTHER#3,,,,
ANSWER#1,,,,
ANSWER#2,,,,
ANSWERABLE,,,,
ANT,,,,
ANTAGONISE#1,,,,
ANTAGONISM,,Negativ,Strong,
ANTAGONIST,,Negativ,,
ANTAGONISTIC,,Negativ,Strong,
ANTAGONIZE,,Negativ,Strong,
ANTARCTICA,,,,
ANTI-SOCIAL,,Negativ,,
ANTI-TRUST,,,,
ANTICIPATE,,,,
ANTICIPATION,,,,
ANTIPATHY,,Negativ,,
ANTIQUATED,,Negativ,,Weak
ANTITRUST,,Negativ,,
ANXIETY,,Negativ,,Weak
ANXIOUS#1,,,,
ANXIOUS#2,,Negativ,,Weak
ANXIOUS#3,,Negativ,,Weak
ANXIOUSNESS,,Negativ,,Weak
ANY#1,,,,
ANY#2,,,,
ANY#3,,,,
ANY#4,,,,
ANY#5,,,,
ANYBODY,,,,
ANYHOW,,,,
ANYMORE,,,,
ANYONE,,,,
ANYTHING,,,,
ANYWAY,,,,
ANYWHERE,,,,
APART#1,,,,Weak
APART#2,,,,
APART#3,,,,
APARTMENT,,,,
APATHETIC,,Negativ,,Weak
APATHY,,Negativ,,Weak
APOCALYPSE,Positiv,,,
APOLOGETIC,,,,Weak
APOLOGIZE,,,,Weak
APOLOGY,,,,Weak
APPALL#1,,Negativ,,
APPALL#2,,Negativ,,
APPARATUS,,,,
APPARENT#1,,,,
APPARENT#2,,,,
APPEAL#1,,,,
APPEAL#2,,,,
APPEAL#3,Positiv,,,
APPEAR#1,,,,
APPEAR#2,,,,
APPEARANCE,,,,
APPEASE,Positiv,,,
APPEASEMENT,,,,
APPEND,Positiv,,,
APPERTAIN,,,,
APPETITE,,,,
APPLAUD,Positiv,,,
APPLAUSE,Positiv,,,
APPLICABLE,,,,
APPLICANT,,,,
APPLICATION,,,,
APPLY#1,,,,
APPLY#2,,,,
APPLY#3,,,,
APPLY#4,,,,
APPOINT#1,Positiv,,,
APPOINT#2,Positiv,,,
APPOINTMENT,,,,
APPRAISAL,,,,
APPRAISE,,,,
APPRECIABLE,Positiv,,Strong,
APPRECIATE,Positiv,,,
APPRECIATION,Positiv,,,
APPRECIATIVE,Positiv,,,
APPREHEND,Positiv,,,
APPREHENSION,,Negativ,Strong,
APPREHENSIVE,,Negativ,,Weak
APPROACH#1,Positiv,,,
APPROACH#2,Positiv,,,
APPROPRIATE#1,Positiv,,,
APPROPRIATE#2,,,Strong,
APPROPRIATION,,,,
APPROVAL,Positiv,,,
APPROVE#1,Positiv,,,
APPROVE#2,Positiv,,Strong,
APPROXIMATE,,,,
APPROXIMATELY,,,,
APRIL,,,,
APT,Positiv,,Strong,
APTITUDE,Positiv,,Strong,
ARAB,,,,
ARABIA,,,,
ARBITER,Positiv,,,
ARBITRARY,,Negativ,,
ARBITRATE,Positiv,,,
ARBITRATION,Positiv,,,
ARBITRATOR,,,,
ARCH#1,,,,
ARCH#2,,,,
ARCHITECT,,,,
ARCHITECTURE,,,,
ARDENT,Positiv,,Strong,
ARDOUR,,,,
ARDUOUS,,Negativ,,
ARE#1,,,,
ARE#2,,,,
ARE#3,,,,
ARE#4,,,,
AREA,,,,
ARENA,,,,
ARGENTINE,,,,
ARGUE#1,,Negativ,,
ARGUE#2,,,,
ARGUMENT#1,,Negativ,,
ARGUMENT#2,,,,
ARID,,,,
ARISE,,,Strong,
ARISEN,Positiv,,,
ARISTOCRACY,Positiv,,,
ARISTOCRAT,Positiv,,,
ARISTOCRATIC,Positiv,,,
ARIZONA,,,,
ARKANSAS,,,,
ARM#1,,,,
ARM#2,,,Strong,
ARM#3,,,Strong,
ARMAMENT,,,,
ARMED#1,,,Strong,
ARMED#2,,,Strong,
ARMISTICE,,,,
ARMY,,,Strong,
AROSE,,,Strong,
AROUND,,,,
AROUSE#1,,,,
ARRANGE#1,,,,
ARRANGE#2,,,,
ARRANGEMENT,,,,
ARREST#1,,Negativ,Strong,
ARREST#2,,Negativ,Strong,
ARREST#3,Positiv,,,
ARRIVAL,,,,
ARRIVE,,,,
ARROGANCE,,Negativ,,
ARROGANT,,Negativ,Strong,
ARROW,,,,
ARSENAL,,,,
ART#1,Positiv,,,
ART#2,,,,
ART#3,,,,
ART#4,Positiv,,,
ARTERY,,,,
ARTICLE,,,,
ARTICULATE#1,,,,
ARTICULATE#2,,,Strong,
ARTIFICIAL,,Negativ,,
ARTIST,,,,
ARTISTIC,,,,
AS#1,,,,
AS#10,,,,
AS#11,,,,
AS#12,,,,
AS#2,,,,
AS#3,,,,
AS#4,,,,
AS#5,,,,
AS#6,,,,
AS#7,,,,
AS#8,,,,
AS#9,,,,
AS#_10,,,,
AS#_11,,,,
AS#_12,,,,
ASCEND,,,Strong,
ASCENDANCY,,,,
ASCENDANT,,,,
ASCENT,,,Strong,
ASCERTAIN,,,,
ASCERTAINMENT,,,,
ASCRIBE,Positiv,,,
ASH,,,,
ASHAMED,,Negativ,,Weak
ASIA,,,,
ASIDE#1,,,,
ASIDE#2,,,,
ASK#1,,,,
ASK#2,,,,
ASLEEP,,,,Weak
ASPECT,,,,
ASPIRATION,Positiv,,,
ASPIRE,Positiv,,,
ASS,,,,
ASSAIL,,Negativ,Strong,
ASSAILANT,,Negativ,,
ASSASSIN,,Negativ,,
ASSASSINATE,,Negativ,,
ASSASSINATION,,,,
ASSAULT#1,,Negativ,Strong,
ASSAULT#2,,Negativ,Strong,
ASSEMBLE,,,,
ASSEMBLY,,,,
ASSENT,Positiv,,,
ASSERT,,,Strong,
ASSERTION,Positiv,,Strong,
ASSERTIVE,,,,
ASSESS,,,,
ASSESSMENT,,,,
ASSESSOR,,,,
ASSET,Positiv,,Strong,
ASSIGN#1,,,,
ASSIGN#2,,,,
ASSIGNMENT,,,,
ASSIMILATE,,,,
ASSIST#1,Positiv,,Strong,
ASSIST#2,Positiv,,Strong,
ASSISTANCE,Positiv,,Strong,
ASSISTANT,Positiv,,,
ASSOCIATE#1,Positiv,,,
ASSOCIATE#2,Positiv,,,
ASSOCIATE#3,Positiv,,,
ASSOCIATION#1,Positiv,,Strong,
ASSOCIATION#2,Positiv,,Strong,
ASSUME#1,,,,
ASSUME#2,,,,
ASSUMPTION,,,,
ASSURANCE,Positiv,,Strong,
ASSURE#1,Positiv,,Strong,
ASSURE#2,Positiv,,Strong,
ASSURE#3,Positiv,,Strong,
ASSUREDLY,Positiv,,Strong,
ASSUREDNESS,,,,
ASTONISH#1,,,,
ASTONISH#2,,,,
ASTOUND,Positiv,,Strong,
ASTRAY,,Negativ,,Weak
ASTRONOMICAL,,,,
ASTRONOMY,,,,
ASTUTE,Positiv,,,
ASUNDER,,Negativ,,Weak
AT,,,,
ATE,,,,
ATHLETIC,Positiv,,Strong,
ATLANTIC,,,,
ATLANTIC-ALIANCE,,,,
ATLANTIC-COMMUNITY,,,,
ATLANTIC-PACT,,,,
ATLAS,,,,
ATMOSPHERE,,,,
ATOM,,,,
ATOMIC,,,Strong,
ATOP,,,,
ATROCIOUS,,Negativ,,
ATROPHY,,Negativ,,Weak
ATTACH,,,,
ATTACHMENT,Positiv,,,
ATTACK#1,,Negativ,Strong,
ATTACK#2,,Negativ,Strong,
ATTACK#3,,Negativ,,
ATTACKER,,,,
ATTAIN,Positiv,,Strong,
ATTAINABLE,,,,
ATTAINMENT,Positiv,,Strong,
ATTEMPT#1,,,,
ATTEMPT#2,,,,
ATTEMPT#3,,,,
ATTEND#1,Positiv,,,
ATTEND#2,,,,
ATTENDANCE,Positiv,,,
ATTENDANT,,,,
ATTENTION,,,,
ATTENTIVE,Positiv,,,
ATTEST,,,,
ATTIC,,,,
ATTITUDE,,,,
ATTORNEY,,,,
ATTRACT,Positiv,,Strong,
ATTRACTION,Positiv,,Strong,
ATTRACTIVE,Positiv,,,
ATTRACTIVENESS,Positiv,,,
ATTRIBUTE#1,,,,
ATTRIBUTE#2,,,,
ATTUNE,Positiv,,,
AUCTION,,,,
AUDACIOUS,,Negativ,Strong,
AUDACITY,,Negativ,Strong,
AUDIBLE,Positiv,,Strong,
AUDIENCE,,,,
AUDITOR,,,,
AUGMENT,Positiv,,,
AUGMENTATION,Positiv,,,
AUGUST,,,,
AUNT,,,,
AUSPICIOUS,Positiv,,,
AUSTERE,,Negativ,Strong,
AUSTRALIA,,,,
AUSTRALIAN,,,,
AUSTRIA,,,,
AUSTRIAN,,,,
AUTHENTIC,Positiv,,,
AUTHENTICITY,Positiv,,,
AUTHOR,,,,
AUTHORISE#1,,,,
AUTHORITARIAN,,,Strong,
AUTHORITATIVE,Positiv,,Strong,
AUTHORITY,Positiv,,Strong,
AUTHORIZE#1,,,Strong,
AUTHORIZE#2,,,Strong,
AUTO,,,,
AUTOCRAT,,Negativ,Strong,
AUTOCRATIC,,Negativ,Strong,
AUTOMATIC,,,,
AUTOMOBILE,,,,
AUTOMOTIVE,,,,
AUTONOMOUS,Positiv,,Strong,
AUTONOMY,,,,
AUTUMN,,,,
AUXILIARY,,,,
AVAIL,,,Strong,
AVAILABILITY,Positiv,,,
AVAILABLE,,,,
AVARICE,,Negativ,,
AVARICIOUS,,Negativ,,
AVENGE,,Negativ,Strong,
AVENUE,,,,
AVERAGE#1,,,,Weak
AVERAGE#2,,,,
AVERAGE#3,,,,
AVERSION,,Negativ,,
AVERT,,Negativ,,Weak
AVID,Positiv,,,
AVOID,,Negativ,,Weak
AVOIDANCE,,Negativ,,Weak
AVOWAL,,,,
AWAIT,,,,
AWAKE,,,,
AWAKEN,,,,
AWARD#1,Positiv,,Strong,
AWARD#2,Positiv,,Strong,
AWARE,Positiv,,Strong,
AWARENESS,Positiv,,Strong,
AWAY#1,,,,
AWAY#2,,,,
AWAY#3,,,,
AWAY#4,,,,
AWE,,,,
AWFUL#1,,Negativ,Strong,
AWFUL#2,,,,
AWFUL#3,,,,
AWHILE,,,,
AWKWARD,,Negativ,,Weak
AWKWARDNESS,,Negativ,,Weak
AWOKE#1,,,,
AX,,Negativ,,
AXE,,,Strong,
AXIS,,,,
AXLE,,,,
BABBLE,,Negativ,,
BABY#1,,,,Weak
BABY#2,,,,
BABY#3,,,,
BACHELOR,,,,
BACK#1,,,,
BACK#2,Positiv,,Strong,
BACK#3,,,Strong,
BACK#4,,,,
BACK#5,Positiv,,Strong,
BACK#6,,,,
BACK#7,,,,
BACK#8,,,,
BACKBONE,Positiv,,Strong,
BACKER,Positiv,,Strong,
BACKGROUND,,,,
BACKING,Positiv,,,
BACKWARD,,Negativ,,Weak
BACKWARDNESS,,Negativ,,Weak
BACON,,,,
BAD,,Negativ,,
BADGER,,,,
BADLY,,Negativ,,
BAFFLE,,Negativ,,
BAFFLEMENT,,Negativ,,
BAG#1,,,,
BAG#2,,,,
BAIL,,Negativ,,Weak
BAIT,,Negativ,,
BAKE,,,,
BAKER,,,,
BALANCE#1,,,Strong,
BALANCE#2,,,Strong,
BALE,,,,
BALK,,Negativ,,Weak
BALL#1,,,,
BALL#2,,,,
BALL#3,,,,
BALL#4,,,Strong,
BALL#5,Positiv,,,
BALL#6,Positiv,,Strong,
BALLET,,,,
BALLISTIC,,,,
BALLOON,,,,
BALLOT,,,,
BALMY,Positiv,,,
BAN#1,,,,
BAN#2,,,,
BANAL,,Negativ,,
BAND#1,,,,
BAND#2,,,Strong,
BANDIT,,Negativ,,
BANDSTAND,,,,
BANE,,Negativ,,Weak
BANISH#1,,Negativ,Strong,
BANISH#2,,Negativ,Strong,
BANISHMENT,,Negativ,,
BANK#1,,,,
BANK#2,,,,
BANK#3,,,,
BANK#4,,,,
BANKER,,,,
BANKRUPT,,Negativ,,
BANKRUPTCY,,Negativ,,
BANQUET,,,,
BANTER#1,,,,Weak
BANTER#2,,,,Weak
BAPTISM,Positiv,,,
BAPTIZE,Positiv,,,
BAR#1,,,,
BAR#2,,,,
BAR#3,,,,
BAR#4,,Negativ,Strong,
BAR#5,,,,
BAR#6,,,,
BARBARIAN,,Negativ,,
BARBAROUS,,Negativ,,
BARBER,,,,
BARD,,,,
BARELY,,,,
BARGAIN,Positiv,,,
BARK#1,,,,
BARK#2,,,,
BARN,,,,
BARREL,,,,
BARREN,,Negativ,,Weak
BARRIER,,Negativ,,
BASE#1,,,Strong,
BASE#2,,,Strong,
BASEBALL,,,,
BASEMENT,,,,
BASHFUL,,Negativ,,Weak
BASIC#1,Positiv,,,
BASIC#2,Positiv,,,
BASIS,,,,
BASKET,,,,
BASTARD,,Negativ,,
BAT#1,,,,
BAT#2,,,,
BATH,,,,
BATHE,,,,
BATHROOM#1,,,,
BATHROOM#2,,,,
BATTLE#1,,Negativ,Strong,
BATTLE#2,,Negativ,Strong,
BATTLEFIELD,,Negativ,,
BATTLESHIP,,,,
BAVARIA,,,,
BAY,,,,
BE#1,,,,
BE#2,,,,
BE#3,,,,
BE#4,,,,
BEACH,,,,
BEACON,Positiv,,,
BEAM#1,,,,
BEAM#2,,,,
BEAN,,,,
BEAR#1,,,,
BEAR#10,,,,
BEAR#2,,,Strong,
BEAR#3,,,,
BEAR#4,,,,
BEAR#5,,,,
BEAR#6,,,,
BEAR#7,,,,
BEAR#8,,,,
BEAR#9,,,,
BEAR#_10,,,Strong,
BEARD,,,,
BEARER,,,,
BEASTLY,,Negativ,,
BEAT#1,,,,
BEAT#2,,Negativ,Strong,
BEAT#3,,Negativ,Strong,
BEAT#4,,Negativ,,Weak
BEATEN#1,,,,
BEAUTEOUS,Positiv,,,
BEAUTIFUL,,,,
BEAUTIFY,Positiv,,Strong,
